Annexure D : List of susbtations and Available Capacity in MW terms,,
S.No,Name of Substation,"Available Capacity as on datein MW terms"
1637,Metpally,15
1638,33/11 KV SS Metpelly,
1639,33/11 KV SS Vempet,
1640,132/33 KV SS Mulkanoor,30
1641,Bheemdeverapally,15
1642,33/11 KV SS Potharam (S),
1643,Koppur,15
1644,33/11 KV SS Koppur,
1645,Vangara,15
1646,33/11 KV SS Vangara,
1647,132/33 KV SS Kalvasrirampur,15
1648,Kalvasrirampur,15
1649,33/11 KV SS Srirampur,
1650,Mirjampet,15
1651,33/11 KV SS Gudem,
1652,33/11 KV SS Mirzampet,
1653,Muttaram,15
1654,33/11 KV SS Mutharam,
1655,33/11 KV SS Adavisrampur,
1656,Pegadapally,15
1657,33/11 KV SS Pegadapally,
1658,33/11 KV SS Pothkapally,
1659,33/11 KV SS Kolanur,
1660,33/11 KV SS Pandilla,
"",Karimnagar total:,509
"",,
KHAMMAM DISTRICT,,
1661,132/33 KV SS Khammam,62
1662,Bhuranpuram,15
1663,33/11 KV SS Bhuranpuram,
1664,33/11 KV SS Dhanavaigudem,
1665,33/11 KV SS N.S.P,
1666,33/11 KV SS Govt. Hospital,
1667,Khanapuram,15
1668,33/11 KV SS Khanapuram,
1669,33/11 KV SS PrakashNagar,
1670,33/11 KV SS Damsalapuram,
1671,Kothalingala,15
1672,33/11 KV SS K.Lingala,
1673,33/11 KV SS Mucherla,
1674,33/11 KV SS R.N.Palem,
1675,33/11 KV SS Ponnekal,
1676,Manchukonda,15
1677,33/11 KV SS IDA,
1678,33/11 KV SS Gubbagurthi,
1679,33/11 KV SS Manchukonda,
1680,33/11 KV SS Pangidi,
1681,Mudigonda,13
1682,33/11 KV SS Mudigonda,
1683,33/11 KV SS Laxmipuram,
1684,33/11 KV SS Nagulavancha,
1685,Pallegudem,15
1686,33/11 KV SS Pallegudem,
1687,33/11 KV SS Theerthala,
1688,Patehrlapadu,10
1689,33/11 KV SS Patehrlapadu,
1690,33/11 KV SS Sublaid,
1691,33/11 KV SS Tippareddygudem,
1692,33/11 KV SS Wgl. X Road,
1693,Peddagopathy,15
1694,33/11 KV SS Peddagopathi,
1695,33/11 KV SS V.V.Palem,
1696,33/11 KV SS Chintakani,
1697,T.R.Palem,15
1698,33/11 KV SS T.R.Palem,
1699,33/11 KV SS Arempula,
1700,Thallada,15
1701,33/11 KV SS Konijerla,
1702,33/11 KV SS Wyra,
1703,33/11 KV SS Garikapadu,
1704,X Road Feeder,15
1705,33/11 KV SS Yld X Road,
1706,132/33 KV SS Madhira,15
1707,Bonakal,15
1708,33/11 KV SS Bonakal,
1709,33/11 KV SS Siripuram,
1710,Madhira,15
1711,33/11 KV SS Madhira,
1712,Yerrupalem,15
1713,33/11 KV SS Yerrupalem,
1714,33/11 KV SS KI Padu,
1715,33/11 KV SS Mamnoor,
1716,33/11 KV SS Mulugmadu,
1717,132/33 KV SS Yellandhu,23
1718,Kothapeta,15
1719,33/11 KV SS Garla,
1720,33/11 KV SS Kothapeta,
1721,33/11 KV SS Challasamudram,
1722,33/11 KV SS Bayyaram,
1723,Mamakannu,15
1724,33/11 KV SS Mamakannu,
1725,33/11 KV SS Komararam,
1726,Tekulapally,15
1727,33/11 KV SS Tekulapally,
1728,Yellandhu,15
1729,33/11 KV SS Yellandu,
1730,33/11 KV SS Karepally,
1731,33/11 KV SS Cheemalapadu,
1732,132/33 KV SS Bhadrachalam,23
1733,Bhadrachalam,15
1734,33/11 KV SS Bhadrachalam,
1735,33/11 KV SS Purushothapatnam,
1736,Burgampadu,15
1737,33/11 KV SS Sarapaka,
1738,Cherla,15
1739,33/11 KV SS Dharmaram,
1740,33/11 KV SS Dummugudem,
1741,33/11 KV SS S.N.Puram,
1742,33/11 KV SS Cherla,
1743,33/11 KV SS Venkatapuram,
1744,33/11 KV SS Wazeedu,
1745,Kunavaram,15
1746,33/11 KV SS Kunavaram,
1747,33/11 KV SS Nellipaka,
1748,33/11 KV SS Chinthuru,
1749,33/11 KV SS Sarivella,
1750,132/33 KV SS Penubally,18
1751,Chandrugonda,15
1752,33/11 KV SS Gowraram,
1753,Kalluru,15
1754,33/11 KV SS Kalluru,
1755,33/11 KV SS Brahamalakunta,
1756,33/11 KV SS Kurnavally,
1757,33/11 KV SS Peddakorukondi,
1758,33/11 KV SS Enkuru,
1759,33/11 KV SS Timmaraopeta,
1760,33/11 KV SS Tallada,
1761,Penubally,15
1762,33/11 KV SS Penubally,
1763,33/11 KV SS Marlakunta,
1764,Sathuapally,15
1765,33/11 KV SS Vemsoor,
1766,33/11 KV SS Guduru,
1767,33/11 KV SS Rayudupalem,
1768,33/11 KV SS Kandukuru,
1769,33/11 KV SS S.S. Palem,
1770,132/33 KV SS Seetharam Patnam,26
1771,Burgampadu,15
1772,33/11 KV SS J.N.Puram,
1773,33/11 KV SS MP Banjara,
1774,33/11 KV SS Br.Padu,
1775,33/11 KV SS Kukkunuru,
1776,33/11 KV SS Velairpadu,
1777,Kothagudem,15
1778,33/11 KV SS LD Pally,
1779,33/11 KV SS Seetharampatnam,
1780,Kothagudem,15
1781,33/11 KV SS Chunchupally,
1782,33/11 KV SS Ramavaram,
1783,33/11 KV SS Sujathanagar,
1784,NMBC,15
1785,33/11 KV SS NMBC,
1786,Paloncha,15
1787,33/11 KV SS Paloncha,
1788,33/11 KV SS Ankampalem,
1789,33/11 KV SS Mulkalapally,
1790,Yanambile,15
1791,33/11 KV SS Yanambile,
1792,132/33 KV SS B. Gangaram,15
1793,Gangaram,15
1794,33/11 KV SS Gangaram (old),
1795,33/11 KV SS Pakalagudem,
1796,Mandalapally,15
1797,33/11 KV SS Dammapet,
1798,33/11 KV SS Naidupeta,
1799,Sathuapally,15
1800,33/11 KV SS Sathupally,
1801,33/11 KV SS Gowrigudem,
1802,132/33 KV SS Aswaraopeta,6
1803,Aswaraopeta,6
1804,33/11 KV SS Aswaraopeta,
1805,Dammapet,6
1806,33/11 KV SS Naramavarigudem,
1807,33/11 KV SS Malkaram,
1808,33/11 KV SS Ankampalem,
1809,33/11 KV SS Gandugulapally,
1810,33/11 KV SS Nagupally,
1811,Vinayakapuram,6
1812,33/11 KV SS Vinayakapuram,
1813,33/11 KV SS Gangaram B(New),
1814,132/33 KV SS Thallada,23
1815,Thallada,15
1816,33/11 KV SS  Thallada,
1817,33/11 KV SS  Kurnavelli,
1818,33/11 KV SS  Peddakorukonda,
1819,Enkur,15
1820,33/11 KV SS  Enkur,
1821,33/11 KV SS  Thimmaraopet,
"",,
"",Khammam district total:,211
"",,
ADILABAD DISTRICT,,
1822,132/33 KV SS Adilabad,30
1823,Adilabad,15
1824,33/11 KV SS Bhukthapur,
1825,33/11 KV SS Khanapur,
1826,Arli T,15
1827,33/11 KV SS Arli,
1828,33/11 KV SS Talamadugu,
1829,33/11 KV SS Thamsi,
1830,Bela,15
1831,33/11 KV SS Bela,
1832,33/11 KV SS Bhoraj,
1833,33/11 KV SS Jainath,
1834,Gudihathnoor,15
1835,33/11 KV SS Barampur,
1836,33/11 KV SS Gudihathnoor,
1837,33/11 KV SS Mavala,
1838,33/11 KV SS Sathnala,
1839,33/11 KV SS Seethagondi,
1840,Kailashnagar,15
1841,33/11 KV SS Dasnapur,
1842,33/11 KV SS Kailashnagar,
1843,Rampur,15
1844,33/11 KV SS GS. Nagar,
1845,33/11 KV SS Rampur,
1846,33/11 KV SS Rampur II( Ponnari),
1847,132/33 KV SS Mancherial,19
1848,Chennur (from MNCL),10
1849,33/11 KV SS Kundaram,
1850,Hazipur,15
1851,33/11 KV SS Gudipet,
1852,33/11 KV SS Hazipur,
1853,Jaipur,15
1854,33/11 KV SS Awadam,
1855,33/11 KV SS Naspur,
1856,33/11 KV SS RK 6,
1857,33/11 KV SS RK Pur (B Zone),
1858,Mancherial I,15
1859,33/11 KV SS Ramnagar,
1860,Mancherial II,15
1861,33/11 KV SS ACC,
1862,Salvailoddi,15
1863,33/11 KV SS Raligadpur,
1864,132/33 KV SS S.Kaghaznagar,12
1865,Dahegoan,12
1866,33/11 KV SS Dahegam,
1867,33/11 KV SS Elkapally,
1868,33/11 KV SS Jambuga,
1869,33/11 KV SS Kunchavelly,
1870,33/11 KV SS Nazrool nagar,
1871,Kowtala,12
1872,33/11 KV SS Bejjur,
1873,33/11 KV SS Kowtala,
1874,33/11 KV SS Ravindranagar,
1875,33/11 KV SS Rebbena (B),
1876,33/11 KV SS Sirpur (T),
1877,S.Kaghaznagar,12
1878,33/11 KV SS Kosini,
1879,33/11 KV SS S.Kaghaznagar Town,
1880,132/33 KV SS Bellampally,16.5
1881,Bellampally,15
1882,33/11 KV SS Bellampally Town,
1883,Ginnedhari,15
1884,33/11 KV SS Asifabad,
1885,33/11 KV SS Dhanora,
1886,33/11 KV SS Ginnedari,
1887,33/11 KV SS Ippalanavegaom,
1888,33/11 KV SS Kerameri,
1889,33/11 KV SS Wankidi,
1890,Kannepally,15
1891,33/11 KV SS Jankapur,
1892,33/11 KV SS Kannepally,
1893,33/11 KV SS Nennel,
1894,33/11 KV SS Rachni,
1895,33/11 KV SS Zear ZP Office,
1896,Kondapur,15
1897,33/11 KV SS Andugupet,
1898,33/11 KV SS Kondapur,
1899,Rebbena,15
1900,33/11 KV SS rebbena,
1901,33/11 KV SS Thandur,
1902,33/11 KV SS Thiryani,
1903,33/11 KV SS Vankulam,
1904,132/33 KV SS Luxettipet,15
1905,Jannaram,15
1906,33/11 KV SS Dandepally,
1907,33/11 KV SS Jannaram,
1908,33/11 KV SS Kawwal,
1909,33/11 KV SS Tapalpur,
1910,Luxettipet,15
1911,33/11 KV SS Luxettipet,
1912,33/11 KV SS Velganoor,
1913,33/11 KV SS Venkatraopet,
1914,Suraram,15
1915,33/11 KV SS Suraram,
1916,132/33 KV SS Bhainsa,30
1917,BHAINSA,15
1918,33/11 KV SS Bhainsa,
1919,Kallur,15
1920,33/11 KV SS Gollamada,
1921,33/11 KV SS Kallur,
1922,33/11 KV SS Kuntala,
1923,33/11 KV SS Vanalpad,
1924,Kubeer,15
1925,33/11 KV SS Kubeer,
1926,33/11 KV SS Pardi (B),
1927,33/11 KV SS Sonari,
1928,Lohesra,15
1929,33/11 KV SS Lohesra,
1930,33/11 KV SS Pipri,
1931,33/11 KV SS Manmad,
1932,Mudhole,15
1933,33/11 KV SS Degoan,
1934,Thanoor,15
1935,33/11 KV SS Beltharoda,
1936,33/11 KV SS Bhainsa II,
1937,33/11 KV SS Thanoor,
1938,132/33 KV SS Mudhole,15
1939,Basar,15
1940,33/11 KV SS Abdullapur,
1941,33/11 KV SS Basar,
1942,33/11 KV SS Bramangoan,
1943,33/11 KV SS Edbid,
1944,33/11 KV SS Mudhole,
1945,132/33 KV SS Echoda,15
1946,Bazarhathnoor,15
1947,33/11 KV SS Bazarhatnoor,
1948,Echoda,15
1949,33/11 KV SS Echoda,
1950,Neradigonda,15
1951,33/11 KV SS Neradigonda,
1952,33/11 KV SS Pochera,
1953,33/11 KV SS Sonala,
1954,Utnoor,15
1955,33/11 KV SS Dasnapur (I),
1956,33/11 KV SS Utnoor,
1957,33/11 KV SS Indervelly,
1958,33/11 KV SS Jainoor,
1959,33/11 KV SS Lokhari,
1960,33/11 KV SS Narnoor,
1961,33/11 KV SS Pulimadugu,
1962,33/11 KV SS Sirpur (U),
1963,132/33 KV SS Chennur,10
1964,Beemaram,10
1965,33/11 KV SS Bheemaram,
1966,Chennur,10
1967,33/11 KV SS Chennur,
1968,33/11 KV SS Kotapally,
1969,33/11 KV SS Neelwai,
1970,Kommera,10
1971,33/11 KV SS Devullawada,
1972,33/11 KV SS Kommera,
"",Adilabad district total:,162
"",,
"",,
"",,
"",,
"",,
