Annexure D : List of susbtations and Available Capacity in MW terms,,
S.No,Name of Substation,"Available Capacity as on datein MW terms"
365,132/33 KV SS Alampur,13
366,Alampur X,13
367,33/11 KV SS Alampur,
368,Alampur,13
369,33/11 KV SS Alampur,
370,Shanthinagar,13
371,33/11 KV SS Shanthinagar,
372,33/11 KV SS Ramapuram,
373,33/11 KV SS Chagapur,
374,33/11 KV SS Rajoli,
375,33/11 KV SS P.T.Pad,
376,Undavelly,13
377,33/11 KV SS Undavelly,
378,33/11 KV SS Jallapur,
379,132/33 KV SS Achampet,25
380,Achampet,15
381,33/11 KV SS Achampet,
382,33/11 KV SS Kondareddypally,
383,Amrabad,15
384,33/11 KV SS Amrabad,
385,33/11 KV SS Vankeshwaram,
386,33/11 KV SS Munnanoor,
387,33/11 KV SS Hajipur,
388,33/11 KV SS Nadimpally,
389,Lingal,15
390,33/11 KV SS Lingal,
391,33/11 KV SS Kondanagula,
392,33/11 KV SS Ambatpally,
393,SLBC,15
394,33/11 KV SS Mannewaripally,
395,33/11 KV SS Inole,
396,Uppununthala,15
397,33/11 KV SS Uppununthala,
398,33/11 KV SS Veltoor,
399,132/33 KV SS Mahabubnagar,45
400,Bhoothpur,14
401,33/11 KV SS Boothpur,
402,33/11 KV SS Janampet,
403,33/11 KV SS Annasagar,
404,Ghanapur,15
405,33/11 KV SS Ghanpur,
406,33/11 KV SS Kothamolgara,
407,33/11 KV SS Kamaluddinpur,
408,33/11 KV SS Christianpally,
409,Jadcherla,13
410,33/11 KV SS Jadcherla,
411,33/11 KV SS Malleboinpally,
412,33/11 KV SS Thimmajipet,
413,33/11 KV SS Koduparthy,
414,33/11 KV SS Wattem,
415,Kodoor,15
416,33/11 KV SS Kodur,
417,33/11 KV SS Machanpally,
418,Kourampet,15
419,33/11 KV SS Edira,
420,33/11 KV SS SVS,
421,Mahabubnagar(T),15
422,33/11 KV SS SLC Mills,
423,33/11 KV SS OldPowerHouse,
424,Nawabpet,10
425,33/11 KV SS Nawabpet,
426,33/11 KV SS Kothacheru Road,
427,33/11 KV SS Karkonda,
428,33/11 KV SS Teegalpally,
429,33/11 KV SS Pomal,
430,Parpally,15
431,33/11 KV SS Hanwada,
432,33/11 KV SS Parpally,
433,33/11 KV SS Tankara,
434,33/11 KV SS Abangapatnam,
435,132/33 KV SS Gadwal,17
436,Oil Seeds,15
437,33/11 KV SS Veerapur,
438,33/11 KV SS Beechupally,
439,33/11 KV SS Kodandapur,
440,Alwalpad,15
441,33/11 KV SS Alwalpad,
442,33/11 KV SS Venkatapur,
443,33/11 KV SS Nandinne,
444,33/11 KV SS Marlabeedu,
445,Amarchintha,15
446,33/11 KV SS Atmakur,
447,33/11 KV SS Amarchintha,
448,33/11 KV SS Peddakadmoor,
449,33/11 KV SS Mastipur,
450,Dharoor,15
451,33/11 KV SS Dharoor,
452,33/11 KV SS Dyagadoddi,
453,Gadwal,14
454,33/11 KV SS Gadwal old,
455,33/11 KV SS Gadwal New,
456,Maldakal,15
457,33/11 KV SS Maldakal,
458,33/11 KV SS Mallamdoddi,
459,33/11 KV SS Budidapad,
460,33/11 KV SS Bijjaram,
461,33/11 KV SS Nagardoddy,
462,132/33 KV Ghanapur,15
463,132/33 KV SS Kosgi,15
464,Suraipally,15
465,33/11 KV SS Doultabad,
466,33/11 KV SS Suraipally,
467,33/11 KV SS Balampet,
Mahabubnagar District Total:,227,
"",,
NALGONDA DISTRICT,,
468,132/33 KV SS Nalgonda,47
469,Ch.Mamidi,15
470,33/11 KV SS Appajipet,
471,33/11 KV SS Cheekatimamidi,
472,Gudapur,10
473,33/11 KV SS P.D.pally,
474,33/11 KV SS Narsingbatla,
475,33/11 KV SS Gudapur,
476,Kanagal(N),15
477,33/11 KV SS Pole Centre,
478,Kattangur,13
479,33/11 KV SS Panagal,
480,33/11 KV SS Kattangur,
481,Nakrekal(N),15
482,33/11 KV SS Pajjur,
483,Nalgonda Rural,15
484,33/11 KV SS Mamillagudem(NlgR),
485,Narketpally(N),15
486,33/11 KV SS Seetharampuram,
487,33/11 KV SS Pamangundla,
488,Rayanaguda,15
489,33/11 KV SS Gollaguda,
490,33/11 KV SS Rajupet,
491,33/11 KV SS Rayanguda,
492,33/11 KV SS Nalgonda Indoor,
493,33/11 KV SS Kesharajpally,
494,Velugupally,15
495,33/11 KV SS M.D.Pally(SLBC),
496,33/11 KV SS Velugupally,
497,33/11 KV SS Mushampally,
498,132/33 KV SS Kodad,27
499,Akupamula,12
500,33/11 KV SS Bethavolu,
501,33/11 KV SS Munagala,
502,33/11 KV SS Akupamula,
503,33/11 KV SS Nadigudem,
504,Ananthagiri,15
505,33/11 KV SS Ananthagiri,
506,33/11 KV SS Siripuram,
507,Kodad,15
508,33/11 KV SS Kodad,
509,33/11 KV SS Kodad Indoor,
510,33/11 KV SS N.B.Gudem,
511,33/11 KV SS Gondriayala,
512,132/33 KV SS Suryapet,60
513,Chandupatla,15
514,33/11 KV SS Sirikonda,
515,33/11 KV SS Mamillagudem(H),
516,33/11 KV SS Ravipad,
517,33/11 KV SS B.Chandupatla,
518,33/11 KV SS Bibigudem,
519,HPCL,15
520,33/11 KV SS Penpahad,
521,33/11 KV SS Kasarabad,
522,33/11 KV SS Suryapet(IE),
523,Kethepally,7
524,33/11 KV SS Kethepally,
525,33/11 KV SS Koppole(K),
526,33/11 KV SS Tekumatla,
527,Nuthanakl,14
528,33/11 KV SS Yepur,
529,33/11 KV SS Athmakur (S),
530,33/11 KV SS Nuthankal,
531,33/11 KV SS Kudakuda,
532,Penpahad,13
533,33/11 KV SS Repala,
534,33/11 KV SS G.Thirumalgiri,
535,33/11 KV SS Cheedella,
536,S.V.College,15
537,33/11 KV SS Suryapet(IE),
538,Suryapet,15
539,33/11 KV SS Suryapet,
540,Yerkaram,10
541,33/11 KV SS Kandagatla,
542,33/11 KV SS Kodur,
543,33/11 KV SS Yerkaram,
544,132/33 KV SS Ramannapet,45
545,Aroor,15
546,33/11 KV SS Laxmapur,
547,33/11 KV SS Arroor,
548,33/11 KV SS Puligilla,
549,Chityala,12
550,33/11 KV SS Narketpally IE,
551,33/11 KV SS Chityala,
552,33/11 KV SS Nerada,
553,33/11 KV SS Urumadla,
554,Ramannapet,15
555,33/11 KV SS Ramannapet,
556,Valigonda,15
557,33/11 KV SS Voligonda,
558,33/11 KV SS Golanpally,
559,33/11 KV SS Tekulasomaram,
560,Veliminedu,15
561,33/11 KV SS Veliminedu,
562,33/11 KV SS Yellanki,
563,33/11 KV SS Aregudem,
564,33/11 KV SS Gundrampally,
565,Yennaram,15
566,33/11 KV SS Yennaram,
567,33/11 KV SS Iskilla,
568,132/33 KV SS Mattampally,25
569,DCL(M),15
570,33/11 KV SS Mattapally,
571,Huzurnagar (Mt),10
572,33/11 KV SS Huzurnagar,
573,33/11 KV SS Amaravaram,
574,33/11 KV SS Y.Singaram,
575,Mattamaplly,15
576,33/11 KV SS Mattampally,
577,NCL,15
578,33/11 KV SS Pedaveedu,
579,Raghunadhapalem,15
580,33/11 KV SS Raghunathapalem,
581,33/11 KV SS Bheelyanaikthanda,
582,Suvarna,15
583,33/11 KV SS Mellacheruvu,
584,132/33 KV SS Sh.Gouraram,39
585,Addagudur,15
586,33/11 KV SS Addagudur,
587,33/11 KV SS Azeempet,
588,Akaram,15
589,33/11 KV SS Akaram,
590,Akkenapally,15
591,33/11 KV SS Akkenapally,
592,33/11 KV SS Biravunibanda,
593,Arvapally,15
594,33/11 KV SS Nagaram,
595,33/11 KV SS Wangamarthy,
596,33/11 KV SS Arvapally,
597,Nakrekal,15
598,33/11 KV SS Arlagaddagudem,
599,33/11 KV SS Marror,
600,33/11 KV SS Ch.Annaram,
601,S.Gowraram,15
602,33/11 KV SS Sh.Gowraram,
603,132/33 KV SS Thungathurty,28
604,Phanigiri,15
605,33/11 KV SS T.Thirumalagiri,
606,33/11 KV SS Gundepuri,
607,33/11 KV SS Phangiri,
608,Ravulapally,15
609,33/11 KV SS Ravulapally,
610,ReddyGudem,13
611,33/11 KV SS Dirsenapally,
612,33/11 KV SS Reddigudem,
613,33/11 KV SS Annaram(T),
614,33/11 KV SS Mukundapuram,
615,Thungaturthy,15
616,33/11 KV SS Thungathurthy,
617,132/33 KV SS Mothkur,3
618,Mothkur,3
619,33/11 KV SS Gundala,
620,33/11 KV SS Mothkur,
621,33/11 KV SS Peddapadishala,
622,Paladugu,3
623,33/11 KV SS Athmakur(M),
624,33/11 KV SS Pallerla,
625,33/11 KV SS Paladugu,
626,132/33 KV SS Choutuppal,22
627,Choutuapapl,14
628,33/11 KV SS Choutuppal,
629,33/11 KV SS D.Nagaram,
630,Narayanpur,15
631,33/11 KV SS Narayanpur,
632,33/11 KV SS Janagoan,
633,33/11 KV SS Survail,
634,Verkatpaly(D.Nagaram),8
635,33/11 KV SS Jublakpally,
636,33/11 KV SS Varketpally,
637,132/33 KV SS Kanagal,16
638,G.Yedavelly,15
639,33/11 KV SS G.Yadavally,
640,33/11 KV SS Pagidimarri,
641,Kanagal(K),15
642,33/11 KV SS Kanagal,
643,33/11 KV SS Gurrampodu,
644,33/11 KV SS Pochampally,
645,Koppole,15
646,33/11 KV SS Koppole(G),
647,Thimmanagudem,15
648,33/11 KV SS Thimmannagudem,
649,33/11 KV SS Thoragal,
650,33/11 KV SS Turkapally,
651,132/33 KV SS Alair (Kolanpaka ),28
652,Alair,15
653,33/11 KV SS Alair,
654,Motakondur,15
655,33/11 KV SS Motakondur,
656,33/11 KV SS Chamapur,
657,33/11 KV SS Chada,
658,Raghunathpur,15
659,33/11 KV SS N.G.Bandalu,
660,33/11 KV SS Raghunadhpur,
661,Rajapet,10
662,33/11 KV SS Rajapet,
663,33/11 KV SS Bondugula,
664,33/11 KV SS Pamukunta,
665,Sharajipet,15
666,33/11 KV SS Sharajpet,
667,33/11 KV SS Patelgudem,
668,33/11 KV SS Golankonda,
669,Suddala,9
670,33/11 KV SS Suddala,
671,33/11 KV SS Ambala,
672,33/11 KV SS Velmajala,
673,Y.Gutta,15
674,33/11 KV SS Y.Gutta,
675,33/11 KV SS Pedakandukur,
676,132/33 KV SS Guntipally,23
677,Padmatpally,15
678,33/11 KV SS Padmatpally,
679,33/11 KV SS Singarajpally,
680,132/33 KV SS Aitipamula,23
681,Aitipamula,15
682,33/11 KV SS Aitipamula,
683,Nakrekal A,15
684,33/11 KV SS Nakrekal,
685,33/11 KV SS Palem,
686,132/33 KV SS K.M.Pally,43
687,Angadipet,15
688,33/11 KV SS Angadipet,
689,33/11 KV SS Ghanapur,
690,33/11 KV SS Dugyala,
691,Chandampet,15
692,33/11 KV SS Chandampet,
693,33/11 KV SS Teldeverapally,
694,33/11 KV SS Cherkupally,
695,33/11 KV SS Yerraram,
696,Chinthapally,9
697,33/11 KV SS Chintapally,
698,33/11 KV SS Takkallalpally,
699,33/11 KV SS Teeded,
700,Deverakonda,15
701,33/11 KV SS Deverakonda,
702,33/11 KV SS Mudigonda,
703,K.M.Pally,8
704,33/11 KV SS Junuthala,
705,33/11 KV SS K.M.Pally,
706,33/11 KV SS Palvai,
707,33/11 KV SS Chepur,
708,Nampally,13.5
709,33/11 KV SS Nampally,
710,33/11 KV SS Mellavai,
711,SLBC,15
712,33/11 KV SS Kothapally,
713,33/11 KV SS Puttangandi,
714,33/11 KV SS Azmapur,
715,132/33 KV SS Bibinagar,38
716,B.P.Pally,12
717,33/11 KV SS B.P.Pally,
718,33/11 KV SS Juloor,
719,33/11 KV SS Venkiryala,
720,33/11 KV SS Malkapur,
721,B.Ramaram,15
722,33/11 KV SS Kondamadugu,
723,33/11 KV SS Nemargomula,
724,Bhongir(bb),15
725,33/11 KV SS Chandupatla,
726,33/11 KV SS Nandanam,
727,Bibinagar,15
728,33/11 KV SS Bibinagar,
729,Bollepally,11
730,33/11 KV SS Bollepally,
731,33/11 KV SS Pedaravulapally,
732,33/11 KV SS Gurraladandi,
733,132/33 KV SS Miryalguda,54
734,Gaddipally,15
735,33/11 KV SS Avanthipuram,
736,33/11 KV SS Kothagudem,
